Data;Giornata;Fonte;Tema;Citazione;Author;Note;JS
01-gen;Global Family Day;https://un.org;Pace e famiglia;Ogni passo verso il cambiamento in pace e famiglia nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""pace e famiglia"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in pace e famiglia nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""pace e famiglia\"" e falla entro stasera, anche se è minuscola.""
},"
04-gen;World Braille Day;https://un.org;Inclusione;Ogni passo verso il cambiamento in inclusione nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""inclusione"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in inclusione nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""inclusione\"" e falla entro stasera, anche se è minuscola.""
},"
24-gen;International Day of Education;https://un.org;Educazione;Ogni passo verso il cambiamento in educazione nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""educazione"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in educazione nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""educazione\"" e falla entro stasera, anche se è minuscola.""
},"
27-gen;International Holocaust Remembrance Day;https://un.org;Memoria;Ogni passo verso il cambiamento in memoria nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""memoria"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in memoria nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""memoria\"" e falla entro stasera, anche se è minuscola.""
},"
02-feb;World Wetlands Day;https://un.org;Ambiente;Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""ambiente"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""ambiente\"" e falla entro stasera, anche se è minuscola.""
},"
04-feb;World Cancer Day;https://who.int;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
06-feb;International Day of Zero Tolerance to Female Genital Mutilation;https://un.org;Diritti;Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""diritti"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""diritti\"" e falla entro stasera, anche se è minuscola.""
},"
11-feb;International Day of Women and Girls in Science;https://un.org;Scienza;Ogni passo verso il cambiamento in scienza nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""scienza"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in scienza nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""scienza\"" e falla entro stasera, anche se è minuscola.""
},"
13-feb;World Radio Day;https://unesco.org;Comunicazione;Ogni passo verso il cambiamento in comunicazione nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""comunicazione"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in comunicazione nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""comunicazione\"" e falla entro stasera, anche se è minuscola.""
},"
20-feb;World Social Justice Day;https://un.org;Giustizia;Ogni passo verso il cambiamento in giustizia nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""giustizia"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in giustizia nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""giustizia\"" e falla entro stasera, anche se è minuscola.""
},"
21-feb;International Mother Language Day;https://unesco.org;Lingue;Ogni passo verso il cambiamento in lingue nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""lingue"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in lingue nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""lingue\"" e falla entro stasera, anche se è minuscola.""
},"
01-mar;Zero Discrimination Day;https://un.org;Diritti;Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""diritti"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""diritti\"" e falla entro stasera, anche se è minuscola.""
},"
03-mar;World Wildlife Day;https://un.org;Animali;Ogni passo verso il cambiamento in animali nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""animali"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in animali nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""animali\"" e falla entro stasera, anche se è minuscola.""
},"
08-mar;International Women’s Day;https://un.org;Parità;Ogni passo verso il cambiamento in parità nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""parità"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in parità nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""parità\"" e falla entro stasera, anche se è minuscola.""
},"
20-mar;International Day of Happiness;https://un.org;Benessere;Ogni passo verso il cambiamento in benessere nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""benessere"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in benessere nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""benessere\"" e falla entro stasera, anche se è minuscola.""
},"
21-mar;International Day for the Elimination of Racial Discrimination;https://un.org;Diritti;Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""diritti"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""diritti\"" e falla entro stasera, anche se è minuscola.""
},"
21-mar;World Poetry Day;https://unesco.org;Cultura;Ogni passo verso il cambiamento in cultura nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""cultura"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in cultura nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""cultura\"" e falla entro stasera, anche se è minuscola.""
},"
22-mar;World Water Day;https://un.org;Ambiente;Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""ambiente"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""ambiente\"" e falla entro stasera, anche se è minuscola.""
},"
23-mar;World Meteorological Day;https://wmo.int;Scienza;Ogni passo verso il cambiamento in scienza nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""scienza"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in scienza nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""scienza\"" e falla entro stasera, anche se è minuscola.""
},"
24-mar;World Tuberculosis Day;https://who.int;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
02-apr;World Autism Awareness Day;https://un.org;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
04-apr;International Day for Mine Awareness;https://un.org;Pace;Ogni passo verso il cambiamento in pace nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""pace"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in pace nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""pace\"" e falla entro stasera, anche se è minuscola.""
},"
06-apr;International Day of Sport for Development and Peace;https://un.org;Sport;Ogni passo verso il cambiamento in sport nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""sport"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in sport nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""sport\"" e falla entro stasera, anche se è minuscola.""
},"
07-apr;World Health Day;https://who.int;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
12-apr;International Day of Human Space Flight;https://un.org;Spazio;Ogni passo verso il cambiamento in spazio nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""spazio"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in spazio nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""spazio\"" e falla entro stasera, anche se è minuscola.""
},"
22-apr;Earth Day;https://earthday.org;Ambiente;Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""ambiente"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""ambiente\"" e falla entro stasera, anche se è minuscola.""
},"
23-apr;World Book and Copyright Day;https://unesco.org;Cultura;Ogni passo verso il cambiamento in cultura nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""cultura"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in cultura nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""cultura\"" e falla entro stasera, anche se è minuscola.""
},"
25-apr;World Malaria Day;https://who.int;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
26-apr;World Intellectual Property Day;https://wipo.int;Innovazione;Ogni passo verso il cambiamento in innovazione nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""innovazione"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in innovazione nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""innovazione\"" e falla entro stasera, anche se è minuscola.""
},"
28-apr;World Day for Safety and Health at Work;https://ilo.org;Lavoro;Ogni passo verso il cambiamento in lavoro nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""lavoro"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in lavoro nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""lavoro\"" e falla entro stasera, anche se è minuscola.""
},"
30-apr;International Jazz Day;https://unesco.org;Musica;Ogni passo verso il cambiamento in musica nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""musica"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in musica nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""musica\"" e falla entro stasera, anche se è minuscola.""
},"
01-mag;International Workers’ Day;https://ilo.org;Lavoro;Ogni passo verso il cambiamento in lavoro nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""lavoro"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in lavoro nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""lavoro\"" e falla entro stasera, anche se è minuscola.""
},"
03-mag;World Press Freedom Day;https://unesco.org;Diritti;Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""diritti"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""diritti\"" e falla entro stasera, anche se è minuscola.""
},"
08-mag;International Red Cross Day;https://icrc.org;Umanitario;Ogni passo verso il cambiamento in umanitario nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""umanitario"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in umanitario nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""umanitario\"" e falla entro stasera, anche se è minuscola.""
},"
12-mag;International Nurses Day;https://icn.ch;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
15-mag;International Day of Families;https://un.org;Famiglia;Ogni passo verso il cambiamento in famiglia nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""famiglia"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in famiglia nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""famiglia\"" e falla entro stasera, anche se è minuscola.""
},"
17-mag;World Telecommunication Day;https://itu.int;Tecnologia;Ogni passo verso il cambiamento in tecnologia nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""tecnologia"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in tecnologia nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""tecnologia\"" e falla entro stasera, anche se è minuscola.""
},"
21-mag;World Day for Cultural Diversity;https://un.org;Cultura;Ogni passo verso il cambiamento in cultura nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""cultura"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in cultura nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""cultura\"" e falla entro stasera, anche se è minuscola.""
},"
22-mag;International Day for Biological Diversity;https://un.org;Ambiente;Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""ambiente"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""ambiente\"" e falla entro stasera, anche se è minuscola.""
},"
31-mag;World No Tobacco Day;https://who.int;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
01-giu;Global Day of Parents;https://un.org;Famiglia;Ogni passo verso il cambiamento in famiglia nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""famiglia"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in famiglia nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""famiglia\"" e falla entro stasera, anche se è minuscola.""
},"
05-giu;World Environment Day;https://un.org;Ambiente;Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""ambiente"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""ambiente\"" e falla entro stasera, anche se è minuscola.""
},"
08-giu;World Oceans Day;https://un.org;Ambiente;Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""ambiente"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in ambiente nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""ambiente\"" e falla entro stasera, anche se è minuscola.""
},"
12-giu;World Day Against Child Labour;https://ilo.org;Diritti;Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""diritti"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""diritti\"" e falla entro stasera, anche se è minuscola.""
},"
14-giu;World Blood Donor Day;https://who.int;Salute;Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""salute"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in salute nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""salute\"" e falla entro stasera, anche se è minuscola.""
},"
15-giu;World Elder Abuse Awareness Day;https://un.org;Diritti;Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""diritti"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""diritti\"" e falla entro stasera, anche se è minuscola.""
},"
20-giu;World Refugee Day;https://un.org;Diritti;Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""diritti"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in diritti nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""diritti\"" e falla entro stasera, anche se è minuscola.""
},"
21-giu;International Yoga Day;https://un.org;Benessere;Ogni passo verso il cambiamento in benessere nasce da una scelta minuscola ma coerente.;Wakeify;"Oggi scegli una sola azione concreta legata a ""benessere"" e falla entro stasera, anche se è minuscola.";"{
  text: ""Ogni passo verso il cambiamento in benessere nasce da una scelta minuscola ma coerente."",
  author: ""Wakeify"",
  note: ""Oggi scegli una sola azione concreta legata a \""benessere\"" e falla entro stasera, anche se è minuscola.""
},"
